,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiilltt
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ffr ra ag g. . |
vvool.l . |
((%%) )","| ppH H
11: :2 2. .5
5
water
water","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)",lat_long,page,x,y,state
479,"0-8
0- 8","Ap
Ap","29.5
29.5","40.0
40.0","30.5
30.5",ccll,--,"54
5.4
|","0.81
0.81",21 °11 ' Nand 83°35' 1 ,193,21.18333333,83.58361111,Orissa
480,88 -— 3300,"Bwgl
Bwgl","24.5
24.5","39.8
39.8","35.7
35.7",ccll,"-
-",55..88,"0.75
0.75",21 °11 ' Nand 83°35' 1 ,193,21.18333333,83.58361111,Orissa
481,33 00 - -8 4 8 4 |,"Bwg2
Bwg2","24.5
24.5","34.4
34.4","41.)
41.1",cc,"-
-","6.0
6.0","0.69
0.69",21 °11 ' Nand 83°35' 1 ,193,21.18333333,83.58361111,Orissa
482,"84-129 |
84 - 129","Bwg3
Bwg3","19.5
19.5","33.8
33.8","46.7
46.7",cc,--,"6.2
6.2","0.55
0.55",21 °11 ' Nand 83°35' 1 ,193,21.18333333,83.58361111,Orissa
483,11 22 99 - - 16 ]66 6 |,"Bwg4
Bwg4","16.0
16.0","35.7
35.7","48.3
48.3",cc,--,"6.3
6.3","0.48
0.48",21 °11 ' Nand 83°35' 1 ,193,21.18333333,83.58361111,Orissa
484,"Depth |
Depth
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","Silt
Silt
(0.05-
(0.05-
0.002mm);
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ffr ra ag g. . |
vol. |
vol.
((%%) )","| ppH H
11: :2 2. .5
5
water
water","EC
EC
| 11: :2 2. .5 5
water
| water
(dS/m)
(dS/m)",,195,21.325,83.29583333,Orissa
485,"0-8
0 - 8","Ap
Ap","24.9
24.9","39.8
39.8","35.3
35.3",ccll,"-
-",55..99,"0.46
0.46",,195,21.325,83.29583333,Orissa
486,"8-23
8- 23",BBtlt l,"24.9
24.9","33.5
33.5","41.6
41.6",cc,33,66..77,"0.43
| 0.43",,195,21.325,83.29583333,Orissa
487,2233 -— 4455,"Bt2
Bt2","19.4
19.4","33.9
33.9","46.7
46.7",ec,55,"7.6
7.6","0.32
0.32",,195,21.325,83.29583333,Orissa
488,"45-8]
45 - 81","Bt3
Bt3","16.5
16.5","34.7
34.7","48.8
48.8",cc,55,"7.6
7.6","0.10
0.10",,195,21.325,83.29583333,Orissa
