,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiilltt
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ffr ra ag g. . |
vvool.l . |
((%%) )","| ppH H
11: :2 2. .5
5
water
water","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)",lat_long,page,x,y,state
166,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zon
zon","Sand
Sand
(2.0-0.05
(2.0-0.05
mm)
mm)
(%)
(%)","SSiillt t
(0.05-
(0.05-
0.002mm)|
0.002mm)
(%)
(%)","Clay
Clay
(<0.002
«0.002
=mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e |
ff rra ag g. . |
vvo ol. l . |
%
(%)","ppH
H
11: :2 2. .5 5 |
water
water","EC
EC
11: :2 2. .5
5
| wwa ate ter r
(dS/m)
(dS/m)",,75,18.17277778,81.53833333,Orissa
167,"0-10
0 - 10","Ap
Ap","86.6
86.6",33..11,"10.3
10.3",Ilss,44..66,00. .4 43 3 |,"00. .1 14
4",,75,18.17277778,81.53833333,Orissa
168,"10-32
10 - 32","Btl
Btl","63.6
63.6","9.9
9.9","26.5
26.5","scl
sci","4.6
4.6",00. .3 31 1 |,"00. .1 12
2",,75,18.17277778,81.53833333,Orissa
169,33 22 - -6 2 62 |,"Bt2
Bt2","49.9
49.9","14.3
14.3","35.8
35.8","sc
sc","49
4.9",00. .223 3 |,"00. .1 12
2",,75,18.17277778,81.53833333,Orissa
170,"662 -— 888
2 8","Bt3
Bt3","50.0
50.0","11.6
11.6","38.4
38.4",sscc,"5.0
5.0",00. .1 17 7 |,"00. .0 09
9",,75,18.17277778,81.53833333,Orissa
171,"88-102
88 - 102",| BBt t4 4,"57.4
57.4","9.4
9.4","33.2
33.2",ssccli,55..22,"0.15
0.15",| 00. .1 10 0,,75,18.17277778,81.53833333,Orissa
172,"Depth
Depth
(cm)
(cm)","|Hori-|
Hori-
zzo on n |","Sand
Sand
(2.0-0.05
(2.0~0.05
mm)
mm)
(%)
(%)","Silt
Silt
(0.05-
(0.05~
0.002mm)|
0.OO2mm)
(%)
(%)","CCl la ay y |
(<0.002
«0.002
mm)
mm)
(%)
(%)","Texture
Texture","Coarse
| Coarse
(frraagg. .
vvool.l . |
(%)
(%)","| p pH H
| 11: :2 2. .5 5 |
wwa ate ter
r","EC
EC
11: :2 2. .5
5
| wwa ate ter r
(dS/m)
(dS/m)",,77,18.33666667,82.96583333,Orissa
173,"0-10
0- 10","Ap
Ap","64.0
64.0","15.7
15.7","20.3
20.3",ssccli,"30
30","6.3
6.3","0.11
0.11",,77,18.33666667,82.96583333,Orissa
174,1100 -— 332 2,BBtlt l,"58.3
58.3",99..44,"32.3
32.3",ssccli,"35
35","6.6
6.6","0.11
0.11",,77,18.33666667,82.96583333,Orissa
175,3322 -— 5522,"Bt2
Bt2","38.3
3~.3","20.7
20.7","41.0
41.0",cc,"41
41","6.7
6.7","0.07
0.07",,77,18.33666667,82.96583333,Orissa
176,"52-72
52 - 72","Bt3
Bt3","32.0
32.0","23.5
23.5","44.5
44.5",cC,"50
50","6.9
6.9","0.05
0.05",,77,18.33666667,82.96583333,Orissa
177,"77 22 - -1 0 14 |
0 4","BBt t4
4","31.6
31.6","20.5
20.5","47.9
47.9",cc,"25
25","7.2
7.2","0.06
0.06",,77,18.33666667,82.96583333,Orissa
178,"DDe ep pth th |
(cm)
(cm)","HHo ori r-
i -
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((“%%))","SSiiltl t
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%“%))","Texture
Texture","| CCo oa ars rse e |
(frraagg. . |
vvool.l . |
((%%) )","ppH
H
11: :2 2. .5
5
water
water","EC
EC
| 11: :2 2. .5 5
water
| water
((ddSS//mm) )","18°53'40""N and 82·55'6"" ",79,18.89444444,82.91833333,Orissa
179,"0-18
0- 18",A,3366..44,3377..99,"25.7
25.7",I|,"22
22","5.9
5.9","0.09
0.09","18°53'40""N and 82·55'6"" ",79,18.89444444,82.91833333,Orissa
180,11 88 - -4 46 6 |,"AAl l2
2","31.9
31.9",4433..77,"24.4
24.4",Il,"28
28","6.2
6.2","0.09
0.09","18°53'40""N and 82·55'6"" ",79,18.89444444,82.91833333,Orissa
181,"46+
46+",R,"Hard rock
Hard rock",,,,,,,"18°53'40""N and 82·55'6"" ",79,18.89444444,82.91833333,Orissa
182,"Depth |
Depth
(em) |
(em)","Hori-
Hori-
zon |
zon","Sand
Sand
(2.0-0.05 |
(2.0-0.05
mm)
mm)
((%%) )","SSiiltl t
(0.05- |
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture --|","Coarse
Coarse
frag.
frag.
vol. |
vol.
((%*) )","| ppH H
1:2.5 |
1:2.5
water
water","EC
EC
1:2.5
1:2.5
| wwa ate ter r
(dS/m)
(dS/m)",,81,18.8875,82.95277778,Orissa
183,"0-22
0 - 22",AA,"48.2
48.2","29.5
29.5","22.3
22.3",Il,66,"4.9
4.9","0.07
0.07",,81,18.8875,82.95277778,Orissa
184,222 2 -— 443 3,"Btl
Btl","31.0
31.0","36.4
36.4","32.6
32.6",ccll,"17
17","5.0
5.0","0.08
0.08",,81,18.8875,82.95277778,Orissa
185,"43-70
43 - 70","Bt2
Bt2","45.0
45.0","26.7
26.7","28.3
28.3","scl
scI","28
28","5.3
5.3","0.05
0.05",,81,18.8875,82.95277778,Orissa
186,"70+
70+","Cr
Cr","weathered granite gneiss
weathered granite gneiss",,,,,,,,81,18.8875,82.95277778,Orissa
187,"Depth
| |
Depth
(cm) |
(em)","Hori-|
lIori-
zon |
zon","Sand
Sand
(2.0-0.05
(2.0.0.05
mm)
mm)
((%%) )","Silt
Silt
| (0.05- |
(0.05·
0.002mm)|
0.002mm)
((%%) )","Clay |
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e |
frag. |
frag.
vvool.l . |
((%%) )","ppH
H
1:2.5
1:2.5
water
water","EC
EC
| 11: :2 2. .5 5
water
| water
(dS/m)
(dS/m)","18°52'45""N and 82°54'30"" E ",83,18.87916667,82.90833333,Orissa
188,"0-20
0- 20","A
A","46.8
46.8","28.1
28.1","25.1
25.1",sscclI,-~,44..66,"0.08
0.08","18°52'45""N and 82°54'30"" E ",83,18.87916667,82.90833333,Orissa
189,220 0 -— 4 45 5,"Btl
Btl","41.8
41.8","27.5
27.5","30.7
30.7",ccll,--,"4.7
4.7","0.07
0.07","18°52'45""N and 82°54'30"" E ",83,18.87916667,82.90833333,Orissa
190,4455 -- 7 78 8,BBtt22,5522..00,1155..99,3322..11,sscclI,--,44..77,00..0077,"18°52'45""N and 82°54'30"" E ",83,18.87916667,82.90833333,Orissa
191,77 88 - -1 1 10 1 0 |,"BBt t3
3","52.6
52.6","13.5
13.5","33.9
33.9",ssccl i,"-
-","48
4.8","0.04
0.04","18°52'45""N and 82°54'30"" E ",83,18.87916667,82.90833333,Orissa
192,"110-150
110 - 150",| BBt t4 4,"43,3
43.3","22.1
22.1","34.6
34.6",ccll,--,44..88,"0.04
0.04","18°52'45""N and 82°54'30"" E ",83,18.87916667,82.90833333,Orissa
193,"0-6
0-6","A
A","68.2
68.2","14.7
14.7","17.1
17.1",ss]l,--,"5.7
5.7","0.21
0.21",,85,18.695,82.03972222,Orissa
194,"6-31
6 - 31","Al2
A12","62.0
62.0","20.1
20.1","17.9
17.9",ssll,"14
14",55..99,"0.17
0.17",,85,18.695,82.03972222,Orissa
195,"31-77 |
31-77","Al3
A13","58.5
58.5","22.0
22.0","19.5
19.5",ssll,"29
29","5.8
5.8","0.14
0.14",,85,18.695,82.03972222,Orissa
196,777 7 -— 880 0,"Cr
Cr","weathered granite gneiss
weathered granite gneiss",,,,,,,,85,18.695,82.03972222,Orissa
197,"DDe ep pth tb |
(cm)
(em)","Hori-
Hori-
zon |
zon","Sand
Sand
(2.0-0.05
(2.0-0.05
mm)
mm)
((%%) )","SSiiltl t
(0.05-
(0.05-
0.002mm)|
0.002mm)
(%)
(%)_","Clay
Clay
(<0.002
«0.002
mm)
mm)
(%)
J%)","Texture
Texture","| CCo oa ars rse e |
ffr ra ag g. . |
vvool.l . |
(%)
(%)","ppH
H
11: :2 2. .5 5 |
water
water","EC
EC
11: :2 2. .5
5
| wwa ate ter r
(dS/m)
(dS/m)","18°45'45' Nand 82°12'45""E ",87,18.7625,82.2125,Orissa
198,"0-12
0- 12","A
A","34.0
34.0","28.1
28.1","37.9
37.9",ccll,55,55..22,"0.13
0.13","18°45'45' Nand 82°12'45""E ",87,18.7625,82.2125,Orissa
199,"12-39
12- 39","Btl
Btl","21.9
21.9","25:7
25.7","52.4
52.4",cc,"I
11","5.3
5.3","00. .1 11
1","18°45'45' Nand 82°12'45""E ",87,18.7625,82.2125,Orissa
200,339 9—- 5599,"Bt2
Bt2","23.2
23.2","24.0
24.0","52.8
52.8",cc,1177,55..33,"0.11
0.11","18°45'45' Nand 82°12'45""E ",87,18.7625,82.2125,Orissa
201,"59-72
59 - 72","Bt3
Bt3","24.1
24.1","22.6
22.6","53.3
53.3",cc,"28
28",55..22,"0.07
0.07","18°45'45' Nand 82°12'45""E ",87,18.7625,82.2125,Orissa
202,"72+
72+","Cr
Cr","weathered granite gneiss
weathered granite gneiss",,,,,,,"18°45'45' Nand 82°12'45""E ",87,18.7625,82.2125,Orissa
203,"Depth
Depth
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(2.0-0.05
(2.0-0.05
mm)
mm)
((%%) )","Silt
Silt
(0.05-
(0.05-
0.002mm)|
O.002mm)
_((%%) )","Clay |
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","TTe ex xtu ture
r e","| CCo oa ars rse e
ffrraagg. . vvool.l .
(%)
(%)","pH
pH
| )1 ::22..55
water
water","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)",,89,19.47333333,82.41361111,Orissa
204,"0-11
0 - 11","Ap
Ap","38.0
38.0",2288.1. 1,333 3.9.9,ccll,--,66..11,"0.28
0.28",,89,19.47333333,82.41361111,Orissa
205,"11-22
It - 22","Al2
A12",3366..44,2244.7.7,338 8..99,ccll,--,66..44,00. .2 21 1,,89,19.47333333,82.41361111,Orissa
206,2222 -— 5522,"Bwl
Bwl",2200..00,3399..44,440 0..66,ssiicc,--,66..66,"0.26
0.26",,89,19.47333333,82.41361111,Orissa
207,5522 -— 7744,"Bw2
Bw2",1188..22,3377..00,4444..88,ssiicc,--,66..77,"0.17
0.17",,89,19.47333333,82.41361111,Orissa
208,7744 -— 9966,"Bw3
Bw3",3300.8.8,1199.1. 1,5500.1. 1,cc,#NAME?,66..99,"0.14
0.14",,89,19.47333333,82.41361111,Orissa
209,9966 -— t1 2299,"Bw4
Bw4",2266..88,1177..33,5555..99,cc,-~,77..00,"0.14
0.14",,89,19.47333333,82.41361111,Orissa
210,"Depth
Depth
(cm)
(em)","|Hori-|
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((°%/). )","Silt
Silt
(0.05-
(0.05-
0.002mm);
0.OO2mm)
((%“) )","Clay |
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ffr ra ag g. . |
vvool.l . |
((%A) )","| pH |
pH
11: :2 2. .5
5
wwa ate ter
r","EC
EC
| 11: :2 2. .5 5
| wwa ate tr e r
((ddSS//mm) )",,93,21.23,84.13138889,Orissa
211,"0-11
0 - 11","Ap
Ap","55.8
55.8","21.9
21.9","22.3
22.3",ssccli,77,55..66,"0.09
0.09",,93,21.23,84.13138889,Orissa
212,"11 11 - -2 1 |
2 1","AAl 12
2","60.6
60.6",119 9..55,1199..99,ssll,1100,55. .99,"0.07
0.07",,93,21.23,84.13138889,Orissa
213,2 211 - -4 6 46 |,"AAl l3
3",669 9..44,"12.3
12.3",1188..33,ssl l,1122,66..1 1,"0.06
0.06",,93,21.23,84.13138889,Orissa
214,4466 -— 5577,"AC
AC","73.1
73.1",1100..22,1166..77,ssll,5544,66..00,"0.06
0.06",,93,21.23,84.13138889,Orissa
215,"57+
57+","Cr
Cr","weathered granite gneiss
weathered granite gneiss",,,,,,,,93,21.23,84.13138889,Orissa
216,"DDe ep pth th |
(cm)
(cm)","Hori-
Bori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiillt t
(0.05-
(0.05-
0.002mm)
O.002mm)
((%%)_)","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ffrraagg. . |
vvool.l .
((%“) )","| ppH H
11::22..55
water
water","EC
EC
| 11::22..55
| wwa ate ter r
(dS/m)
(dS/m)",,95,21.19333333,84.13944444,Orissa
217,"0-13
0-13","Ap
Ap","60.0
60.0","23.3
23.3","16.7
16.7",5sl1,99,55..44,"0.49
0.49",,95,21.19333333,84.13944444,Orissa
218,11 33 - -2 29 9 |,"Al2
A12","72.4
72.4","14.8
14.8",1122..88,ssll,2222,55..88,"0.36
0.36",,95,21.19333333,84.13944444,Orissa
219,229 9- -6 68 8 |,"AAl I3
3","81.0
81.0",1100.3J,88..77,IIss,2266,66..11,"0.28
0.28",,95,21.19333333,84.13944444,Orissa
220,668 8 -— 881 1,"Al4
A14","84.3
84.3",77..66,88..11,IIss,"33
33","6.3
6.3","0.20
0.20",,95,21.19333333,84.13944444,Orissa
221,"81+
81+",CCrr,wwe ea at th he er re ed d ggrraannititee ggnneiesisss,,,,,,,,95,21.19333333,84.13944444,Orissa
222,"oDe pth |
pth
(cm)
(em)","Hori-|
Hori-
zzo on o |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","Silt
Silt
(0.05-
(0.05-
0.002mm);|
O.OOlmm)
((%%) )","Clay |
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| Coarse|
Coarse
ff rra ag g. . |
vol.
vol.
((%%) )","pH |
pH
11: :2 2. .5 5 |
water
water","EC
|
EC
11: :2 2. .5
5
| wwa ate ter r
(dS/m)
(dS/m)",,97,21.8325,84.74638889,Orissa
223,"0-12
0 - 12","A
A","26.4
26.4","35.3
35.3","38.3
38.3",ccll,"13
13","6.0
6.0","0.22
0.22",,97,21.8325,84.74638889,Orissa
224,"12-39
12 -39","Btl
Btl","22.4
22.4","29.0
29.0","48.6
48.6",cc,"51
51","6.2
6.2","0.16
0.16",,97,21.8325,84.74638889,Orissa
225,339 9 -— 665 5,"Bt2
Bt2","23.0
23.0","23.7
23.7","53.3
53.3",cc,"58
58","6.3
6.3","0.17
0.17",,97,21.8325,84.74638889,Orissa
226,"DDe ep pth th |
(cm)
(cm)","Hori-
Horl-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiiltl t
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e |
ff rr aag g. . |
vvool.l . |
_((%%) )","ppH
H
1:2.5
1:2.5
water
water","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)",,99,21.65777778,84.45472222,Orissa
227,"0-14
0- 14",AA,"70.5
70.5","11.6
11.6","28.1
28.1",ssccli,--,"49
4.9","0.13
0.13",,99,21.65777778,84.45472222,Orissa
228,11 44 - - 3 37 7 |,"BBw wl
l","58.5
58.5","12.1
12.1","29.4
29.4",ssccli,--,"5.6
5.6","0.17
0.17",,99,21.65777778,84.45472222,Orissa
229,337 7- -6 64 4 |,"BBw w2
2",5588..33,"12.0
12.0","29.7
29.7",ssccli,--,66..11,"0.16
0.16",,99,21.65777778,84.45472222,Orissa
230,664 4- -9 97 7 |,"BBw w3
3",5566..33,"13.5
13.5","30.2
30.2",ssccli,-=,"5.6
5.6","0.14
0.14",,99,21.65777778,84.45472222,Orissa
231,99 77 - -1 5 10 5 0 |,"B Bw w4
4",5566..44,"14.1
14.1","29.5
29.5",ssccli,--,"5.2
5.2","0.11
0.11",,99,21.65777778,84.45472222,Orissa
232,"Depth
(cm)
I
l","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
(( %%) ) _","Silt
Silt
(0.05-
(0.05-
0.002mm)
0.002mm)
(%)
(%)","Clay
Clay
(<0.002
«0.002
mm)
mm)
(%)
(%)","Texture
Texture","| CCo oar as re e
frag.
frag.
vvool.l . |
(%)
(%)","| pH
pH
| 11: :2 2. .5 5
wwa ate ter
r","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)","21°30'45"" Nand 85°41'48"" E ",101,21.5125,85.69666667,Orissa
233,0 - ]4,"Ap
Ap","53.4
53.5","22.5
22.5","24.0
24.0",ssccli,66,"6.1
6.1","0.19
0.19","21°30'45"" Nand 85°41'48"" E ",101,21.5125,85.69666667,Orissa
234,14 - 35,"Bwl
Bwl","18.0
18.0","47.1
47.1","33.9
33.9","sicl
sicl",]100,"7.0
7.0","0.20
0.20","21°30'45"" Nand 85°41'48"" E ",101,21.5125,85.69666667,Orissa
235,35 - 57,"Bw2
Bw2","16.5
16.5","41.4
41.4","42.1
42.1","sic
sic","12
12","7.1
7.1","0.16
0.]6","21°30'45"" Nand 85°41'48"" E ",101,21.5125,85.69666667,Orissa
236,57 - 73,"Bw3
Bw3","10.4
10.4","41.5
41.5","48.1
48.1","sic
sic","23
23","7.1
7.1","0.14
0.]4","21°30'45"" Nand 85°41'48"" E ",101,21.5125,85.69666667,Orissa
237,73+,"Cr
Cr","weathered gravels
weathered gravels",,,,,,,"21°30'45"" Nand 85°41'48"" E ",101,21.5125,85.69666667,Orissa
238,"Depth
Deptb
(cm)
(cm)","Hori-|
| Hor!-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mim)
mm)
(%)
(%)","SSilitl’t
(9.05-
(0.05-
0.002mm)
0.OO2mm)
((%%) )","| CCl la ay y |
(<0.002
«0.002
mm)
mm)
(%)
(%)","Texture
Texture","| CCo oar as re s| e
ffrraagg. . |
vvool.l .
(%)
(%)","pH |
pH
11: :2 2. .5 5 |
water
water","EC
EC
11: :2 2. .5
5
| w wa ate ter r
(dS/m
(dS/m)",,103,21.26666667,85.7875,Orissa
239,"0-15
0 - IS","Ap_
Ap","65.4
65.4","11.5
11.5","23.1
23.1","scl
sci",88,"6.2
6.2","00..1 14
4",,103,21.26666667,85.7875,Orissa
240,"11 55 - -3 39 |
9","BBw wl
l","59.6
59.6","14.1
14.1","26.3
26.3",ssccli,1111,66..88,"0.17
0.17",,103,21.26666667,85.7875,Orissa
241,33 99 - -5 9 59 |,"B Bw w2
2",116 6..88,"52.3
52.3","30.9
30.9",ssiiccll,"25
25","6.9
6.9","0.18
0.18",,103,21.26666667,85.7875,Orissa
242,"55 99 - -7 8 |
7 8","Bw3
Bw3",114 4..22,"51.3
51J","34.5
34.5",ssiiccll,"59
59","7.0
7.0","0.15
0.15",,103,21.26666667,85.7875,Orissa
243,"78+
78+","Cr
Cr","weathered granite gneiss
weathered granite gneiss",,,,,,,,103,21.26666667,85.7875,Orissa
244,"Depth |
Deptb
(cm)
(em)","Hori-
Hori-
zon
zon","Sand
Sand
(2.0-0.05
(2.0-0.05
mm)
mm)
((%%) )","Silt
Silt
(0.05-
(0.O5~
0.002mm)|
O.OO2mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
= mm)
((%%) )",T Te ex xtu ture re |,"CCo oa ars rse e |
frag.
frag.
vvool.l . |
((%%) )","ppH
H
11: :2 2. .5 5 |
wwa ate ter r |","EC
EC
11: :2 2. .8
5
wwa ate ter
r
(dS/m)
(dS/m)",,105,21.49583333,85.75277778,Orissa
245,"0-13
0-13","A
A","76.5
76.5",55..44,118 8.1. 1,ssll,--,"5.0
5.0","0.09
0.09",,105,21.49583333,85.75277778,Orissa
246,1133 -— 228 8,BBtlt l,"68.1
68.1","6.9
6.9","25.0
25.0",ssccli,-~,"5.6
5.6","0.06
0.06",,105,21.49583333,85.75277778,Orissa
247,228 8—- 5533,"Bt2
Bt2","69.3
69.3",33..11,"27.6
27.6",ssccli,--,"6.0
6.0","0.04
0.04",,105,21.49583333,85.75277778,Orissa
248,553 3 -— 888 8,8Btt33,"68.8
68.8",33..44,"27.8
27.8",ssccli,-=,55..99,"0.04
0.04",,105,21.49583333,85.75277778,Orissa
249,88 88 - -1 1 J 0 1 0 |,8Btt44,"68.3
68.3",44..33,"27.4
27.4",ssccli,-=,"5.7
5.7","0.05
0.05",,105,21.49583333,85.75277778,Orissa
250,"Depth
Deptb
(cm)
(cm)","Hori-
Hori·
zon
zoo","| SSa an nd d
({2(2..00-.00..005;5
mmm m) ) |
((%%)_)","Silt
Silt
(( 00. .005 5- - |
O0. .0 O0 O2m lmm) m|
)
((%“) )","Clay |
Clay
«(< 00 .. 000 02
2
mm)
mm)
(%)_
(%)","Texture
Texture","Coarse
Coarse
(fr ra ag g. . |
vvo ol. l . |
((“%%))","| ppH H
11: :2 2. .5 5 |
wwa ate ter r |","EC
Ee
11: :2 2. .5
5
wwa ate ter
r
(dS/m)
(dS/m)","21 °26' 13"" Nand 85°48'30"" E ",107,21.43694444,85.80833333,Orissa
251,"0-15
0 - 15","Ap
Ap","54.1
54.1","15.9
15.9","30.0
30.0",sscclI,--,"5.4
5.4","0.83
0.83","21 °26' 13"" Nand 85°48'30"" E ",107,21.43694444,85.80833333,Orissa
252,"15-34 |
15 - 34",B Bw wgi g l |,"52.6
52.6","14.5
14.5","32.9
32.9","scl
scI",-~,"6.0
6.0","0.74
0.74","21 °26' 13"" Nand 85°48'30"" E ",107,21.43694444,85.80833333,Orissa
253,334 4— -5 59 9 |,BBw wg g2 2 |,"447 7. .0
0","18.9
18.9","34.1
34.1",sscclI,--,"6.4
6.4","0.65
0.65","21 °26' 13"" Nand 85°48'30"" E ",107,21.43694444,85.80833333,Orissa
254,"59-87 |
59 - 87",B Bw wg g3 3 |,"55.1
55.1","14.4
14.4","30.5
30.5",ssccli,--,"6.6
6.6","0.61
0.61","21 °26' 13"" Nand 85°48'30"" E ",107,21.43694444,85.80833333,Orissa
255,"87-111
87 - 11 J","Cgl
Cgl","70.0
70.0","10.2
10.2","19.8
19.8",ssll,-~,"6.6
6.6","0.47
0.47","21 °26' 13"" Nand 85°48'30"" E ",107,21.43694444,85.80833333,Orissa
256,I1 I1 )1 - - 15 10 5 0 |,"CCg g2
2","70.6
70.6","10.3
10.3","19.1
19.1",ssll,--,"6.7
6.7","0.30
0.30","21 °26' 13"" Nand 85°48'30"" E ",107,21.43694444,85.80833333,Orissa
257,"DDe ep pth th |
(cm)
(cm)","HHo ori r-
i -
zon |
zoo","Sand
Sand
(2.0-0.05
(2.0-0.05
mm)
mm)
((%%) )","Silt
Silt
(0.05-
(0.05-
0.002mm)|
0.OO2mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%“%))",TTe ex xtu ture r e |,"CCo oa ars rse
e
frag.
frag.
vol. |
vol.
((%%) )","| ppH H
| 11: :2 2. .5 5
water
water","EC
EC
| 1:2.5
1:2.5
| wwa ate ter r
(dS/m)
(dS/m)",,109,21.825,85.51666667,Orissa
258,"0-16
0 - 16","Ap
Ap","11.4
11.4","4.9
4.9","83.7
83.7",cc,--,"6.2
6.2","0.71
0.71",,109,21.825,85.51666667,Orissa
259,"16-35
16 - 35","Bw
Bw","11.7
11.7","14.3
14.3","74.0
74.0",cc,--,"6.5
6.5","0.64
0.64",,109,21.825,85.51666667,Orissa
260,"35-64 |
35 - 64","Bwgl
Bwgl","10.7
10.7","18.7
18.7","70.6
70.6",cC,--,"6.8
6.8","0.57
0.57",,109,21.825,85.51666667,Orissa
261,"64-105
64 - 105",| BBw wg g2 2,"12.0
12.0","33.7
33.7","54.3
54.3",icc,--,"7.6
7.6","0.48
0.48",,109,21.825,85.51666667,Orissa
262,"105-150
105 - 150",| BBw wg g3 3,"9.2
9.2","32.8
32.8","58.0
58.0",cc,-~,"7.6
7.6","0.39
0.39",,109,21.825,85.51666667,Orissa
263,"DDe ep pth th |
(cm)
(em)","Hori-
Hori~
zon |
zoo","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
_(%)
(%)","SSilitl t
| (0.05- |
(0.05~
0.002mm);
0.OO2mm)
(%)
(%)","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ffr ra ag g. . |
vvool.l . |
((%%) )","| pH
pH
1:2.5
1:2.5
wwa ate ter
r","EC
EC
| 11: :2 2. .5 5
water
| water
(dS/m)
(dS/m)",,111,20.85833333,84.09166667,Orissa
264,"0-12
0 - 12","Ap
Ap","42.8
42.8","25.5
25.5","31.7
31.7",ccll,-~,7Ee.:2,"0.56
0.56",,111,20.85833333,84.09166667,Orissa
265,11 22 - -2 4 24 |,"BBw wl
l","41.7
41.7","25.0
25.0","33.3
33.3",ccll,-~,"75
7.5","0.51
0.51",,111,20.85833333,84.09166667,Orissa
266,2 244 - -3 37 7 |,"BBw w2
2","50.0
50.0","19.3
19.3","30.7
30.7",ssccli,--,"7.6
7.6","0.43
0.43",,111,20.85833333,84.09166667,Orissa
267,"33 77 - -5 0 |
50","B Bw w3
3","54.1
54.1","18.0
18.0","27.9
27.9",sscclI,-~,"78
7.8","0.37
0.37",,111,20.85833333,84.09166667,Orissa
268,550 0- -8 81 1 |,"BBw w4
4","55.3
55.3","19.0
19.0","25.7
25.7",sscclI,--,"8.0
8.0","0.28
0.28",,111,20.85833333,84.09166667,Orissa
269,"81-130
81 - 130",C&,6666..88,1155..1 I,"18.1
18.1",ssll,-.,88..11,"0.22
0.22",,111,20.85833333,84.09166667,Orissa
270,"Depth
Depth
(cm)
(cm)","Hori-
Horl-
zon |
zon","Sand
Sand
|
(2.0-0.05|
(2.0-0.05
mmm m) ) |
((%%) )","SSiilltt
(0.05-
(0.05-
00. .00 002 2m mm) m|
)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )",TTe ex xtu ture re |,"CCo oa ars rse
e
ff rra ag g. . |
vvool.l . |
(%)
(0/0)","| ppH H
11: :2 2. .5
5
wwa ate ter
r","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)",,113,21.64111111,85.77805556,Orissa
271,"0-14
0 - 14","Apg
Apg","24.0
24.0","30.3
30.3","45.7
45.7",cc,--,"6.6
6.6","0.84
0.84",,113,21.64111111,85.77805556,Orissa
272,"14-23
14 -23","Bwg]l
Bwsd","34.1
34.1","22.5
22.5","43.4
43.4",cc,-,"7.0
7.0","0.76
0.76",,113,21.64111111,85.77805556,Orissa
273,2233 -— 4433,"Bwg2
Bwg2","42.0
42.0","PAP:
21.2","36.8
36.8",ccll,--,"7.0
7.0","0.68
0.68",,113,21.64111111,85.77805556,Orissa
274,"43-59
43 - 59","Bwg3
Bwg3","56.6
56.6","12.0
12.0","31.4
31.4",ssccli,#NAME?,77..00,"0.43
0.43",,113,21.64111111,85.77805556,Orissa
275,559 9—- 8866,"Bwg4
Bwg4","38.0
38.0","32.3
32.3","29.7
29.7",ccll,-,77..11,"0.29
0.29",,113,21.64111111,85.77805556,Orissa
